0,7
6,7
6,8
7,8
8,8
9,8
10,8
10,9
11,9
11,10
12,10
12,11
12,12
12,13
12,14
12,15
12,16
12,17
12,18
12,19
13,19
13,27
13,28
13,29
13,30
13,31
13,32
13,40
13,41
13,42
13,43
13,44
13,45
13,46
13,47
13,48
13,49
13,50
13,51
13,53
13,54
13,55
13,56
13,57
13,58
13,59
13,60
13,61
13,62
13,63
13,64
13,65
13,66
13,67
13,68
13,69
13,70
13,71
13,72
13,73
13,74
13,75
13,76
13,77
13,78
13,79
13,80
13,81
13,82
13,83
13,84
13,85
13,86
13,87
13,88
13,89
13,90
13,91
13,92
13,93
13,94
13,95
13,96
14,96
15,96
16,96
17,96
18,96
19,96
20,96
21,96
22,96
23,96
24,96
25,96
26,96
27,96
28,96
29,96
30,96
31,96
32,96
33,96
34,96
35,96
36,96
37,96
38,96
39,96
39,95
39,94
39,93
39,92
39,91
39,90
39,89
39,88
39,87
39,86
39,85
39,84
39,83
39,82
39,81
39,80
39,79
39,78
39,77
39,76
39,75
39,74
39,73
39,72
39,71
39,70
39,69
39,68
39,67
39,66
39,65
39,64
39,63
39,62
39,61
39,60
39,59
39,58
39,57
39,56
39,55
39,54
39,53
39,52
39,51
39,50
39,49
39,48
39,47
39,46
39,45
39,44
39,43
39,42
39,41
39,40
39,39
39,38
39,37
39,36
39,35
39,34
39,33
39,32
39,31
39,30
39,29
39,28
39,27
39,26
39,25
39,24
39,23
39,22
39,21
39,20
39,19
39,18
39,17
39,16
39,15
39,14
39,13
39,12
39,11
39,10
40,10
40,9
41,9
41,8
42,8
43,8
44,8
45,8
45,7
46,7
47,7
48,7
49,7
50,7
51,7
59,7
59,8
60,8
60,9
61,9
61,10
62,10
62,11
63,11
63,12
63,13
63,14
63,15
63,16
63,17
63,18
63,19
63,20
63,21
63,22
63,23
63,24
63,25
63,26
63,27
63,28
63,29
63,30
63,31
63,32
63,33
63,34
63,35
63,36
63,37
63,38
63,39
63,40
63,41
63,42
63,43
63,44
63,45
63,46
63,47
63,48
63,49
63,50
63,51
63,52
63,53
63,54
63,55
63,56
63,57
63,58
63,59
63,60
63,61
63,62
63,63
63,64
63,65
63,66
63,67
63,68
63,69
64,69
64,77
64,78
64,79
64,80
64,81
64,82
64,90
64,91
64,92
64,93
64,94
64,95
64,96
65,96
66,96
67,96
68,96
69,96
70,96
71,96
72,96
73,96
74,96
75,96
76,96
77,96
78,96
79,96
80,96
81,96
82,96
83,96
84,96
85,96
86,96
87,96
88,96
89,96
90,96
90,95
90,94
90,93
90,92
90,91
90,90
90,89
90,88
90,87
90,86
90,85
90,84
90,83
90,82
90,81
90,80
90,79
90,78
90,77
90,76
90,75
90,74
90,73
90,72
90,71
90,70
90,69
90,68
90,67
90,66
90,65
90,64
90,63
90,62
90,61
90,60
90,59
90,58
90,57
90,56
90,55
90,54
90,53
90,52
90,51
91,51
91,50
91,49
91,48
92,48
92,47
93,47
93,46
94,46
95,46
96,46
97,46
98,46
98,45
99,45
100,45
101,45
102,45
103,45
104,45
105,45
106,45
107,45
108,45
109,45
110,45
111,45
112,45
113,45
114,45
114,44
115,44
